"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Desert Falcon",,7ef881097ee95cc1869a830309d5f6c3c2608931,,,,,,"1987; Atari; h1; HSC",,,,?,,,,,,,,,,,,
Crossbow,,7fbe0ab6da1bc6587f8bf3173d934ab790fa514c,,,,,,"1988; Atari; PAL; CC2 Hack",,,,,,,,,,,,,,,,
"Senso 7800 Test 5",,7fc7dfa46d6189422e008d978c09ea1e96734ed9,,,,,,"Copyright Public Domain",2001,Taquart,,,,,,,,,,,,,,
"Tank Command",,807505a3af7458622c5dffc62da1d608826f917a,,,,,,"Video NTSC",1988,Froggo,,,,,,,,,,,,,,
"Title Match Pro Wrestling",,80cc587f905781d50dc32b64ac2c3daf7d159a74,,,,,,"Video PAL",1989,"Absolute Entertainment",,,,,,,,,,,,,,
"Pete Rose Baseball",,80ed091b4081c134ea57b8e96fc3825b1d98e7b2,,,,,,"Video NTSC",1989,"Absolute Entertainment",,,,,,,,,,,,,,
Meltdown,,816073f9dd490c34e64db4b246bca0ec0e0834fb,,,,,,"Video NTSC",1990,Atari,,,,,,,,,,,,,,
"Super Skateboardin'",,8283a91b59b4a3b25ef479ba855b4af1b3b72a2d,,,,,,"Video PAL",1988,"Absolute Entertainment",,,,,,,,,,,,,,
@,,85475e9cb0e6a065960c6c0a337b4a2a65299511,,,Xevious,,,"Video NTSC",1988,Atari,@,,,,,,,,,,,,,
"Space War! Rev 20040318",,85d6471cf423e4f16ed415bfe529605a39aee0f2,,,"Space War!",,,"v rev20040318; Copyright Public Domain",2004,"Eric Ball",,,,,,,,,,,,,,
"Summer Games",,86383e6553453a353fb641b60f7021662bfc6553,,,,,,"Video NTSC",1987,Atari,,b,"b 1",,,,,,,,,,,
@,,86b33e9169d7e365187c13424fedc2e61beacbc9,,,"Ace of Aces",,,"Video NTSC",1988,Atari,@,,,,,,,,,,,,,
Basketbrawl,,87b0740a5f042a61a0c38b25c0425638eebeb11f,,,,,,"Video PAL",1990,Atari,,,,,,,,,,,,,,
@,,88cdff3f0dc80433fd5df86e4aa093faa36d34f5,,,"Diagnostic Test Cartridge",,,"Video NTSC",1984,Atari,@,,,,,,,,,,,,,
"Beef Drop 7800",,8af67b3d117c2af262db1b7d432e30ea5a33088c,,,,,,"Oct 26-Rev 05; 2004; PD",,,,,,,,,,,,,,,,
"Double Dragon",,8c782aa3faaef83f76f53e446a676881a4f44eb0,,,,,,"Video PAL",1989,Activision,,,,,,,,,,,,,,
"Dark Chambers",,8e1866b33515d742bc0e1db0df0165f1c55694b9,,,,,,"Video NTSC",1988,Atari,,,,,,,,,,,,,,
"Beef Drop 7800",,8e73b2d1a29ba733fd1cb946b68ce26e9cd15c24,,,,,,V20041109-Rev14,,,,,,,,,,,,,,,,
"Impossible Mission",,8edb423291b3d954b1a04a0fa8704856f3f8a2c3,,,,,,"1987; Atari; a1",,,,,,,,,,,,,,,,
"Beef Drop 7800",,8edf841480ec4577f683a4074877ae70e270b557,,,,,,V20041103-Rev09,,,,,,,,,,,,,,,,
Centipede,,8f395f48971ed55e97f41f2286e10dcc5a14c066,,,,,,"Video NTSC",1987,Atari,,,"a 1",,,,,,,,,,,
